,reactions,comments,post_id
289,5,Bình luậ,330363467630414
343,5,Bình luậ,330516610948433
212,5,1 bình luậ,333847007282060
336,5,1 bình luậ,333847007282060
378,5,1 bình luậ,317500165583411
669,5,Bình luậ,330363467630414
660,4,Bình luậ,330452164288211
208,4,1 bình luậ,333870980612996
272,4,Bình luậ,330493640950730
344,4,Bình luậ,330493640950730
652,4,Bình luậ,330493640950730
588,4,1 bình luậ,333870980612996
280,4,Bình luậ,330452164288211
370,4,Bình luậ,321276551872439
377,3,1 bình luậ,317502238916537
371,2,Bình luậ,321266588540102
523,2,Bình luậ,338116463521781
143,2,Bình luậ,338116463521781
372,1,Bình luậ,321165738550187
438,0,,343374696329291
304,0,,346298182703609
305,0,,343374696329291
55,0,,343374696329291
365,0,Bình luậ,323644974968930
418,0,,346298182703609
39,0,,346298182703609
